

TESTING DATA SET


Calculations per sequences:
Label	True+	Marked+	Detect+	Prec.	Recall	F1
0:	15	408	29	3.676	51.724	6.86417
1:	1	401	10	0.249	10	0.485901
2:	19	200	517	9.5	3.675	5.29981
3:	0	0	25	0	0	-nan
4:	2	393	47	0.508	4.255	0.907638
5:	121	227	1138	53.303	10.632	17.7279
6:	0	0	10	0	0	-nan
7:	0	42	0	0	0	-nan
8:	0	48	0	0	0	-nan
9:	0	82	24	0	0	-nan
10:	0	0	0	0	0	-nan
-----------------------------------------------------------------------
Ov:	158	1801	1800	8.7729	8.77778	8.77534
